page,col,seq,彝文,IPA,直译,意译
355,L,4,Z Z4 住 中,ve31 4D33 tsi33 4055 2133,猪 舌 水 响 荡,猪 嘬 水 声 般
355,L,5,日 W,mx 44 eru 1033 tsiss,铁 夹 水 处 淬,铁钩 水 里淬
355,R,1,特 学 ± 口,mx 44 m121 bu²1 lu33 tu33,铁 屑 蝴 蝶 飞,铁 屑 似 蝶 飞
355,R,2,? 事,de21 khu21 44 1044 tsa 55 xu,打 声 铁 石 碰,锤 声 似 击 石
356,L,1,,33 44 4D21 tsi33 mu mx gess,树 高 桑 枝 叶,高拔 桑 树 叶
356,L,2,未 抹 下 及 全,dess 21 q²e44 21 dle33,伙 大 篮 大 满,伙 子 大 蓝 满
356,L,3,田 光,lu²1 55 qe44 55 dle33 na na,少 小 篮 小 满,少 年 小 篮 满
356,L,4,去,133 dlo21 d121 9031,跨 的 返 回 来,快步返身 跑
356,R,1,,44 31 b121 bu33 tsh33 md qo,返 回 到 河 边,返 回 到 河 边
356,R,2,HA,ne 44 ssm phe44 ni33,我 看 对 面 着,顺 河看 对 面
356,R,3,每 7,tho21 da 4 zi33 mu 33 te33,松 断 柱 做 栽,松 木 做 桥 柱
356,R,4,开,qo21 mG 334h33 m.1 pu 33 mu,沙松 筒 梁 做 铺,沙 松木 铺 面
357,L,1,,"Z.O""S tsu kD33 mu33",我 桥 我 过 的,我 桥 我 自 过
357,L,2,去 为,"dlo21 d121 kD33 9031 1,33",跨 的 走 回 来,回 快 步 跑 来
357,L,3,W .to,kD33 qo 31 Iu*s he33 tsh33,走 家 到 回 自,回 到自 家 屋
357,L,4,金Ω,4u33 kD²1 tho33 1a33 tce 44,银 筛底 来 凉,凉 在 银 筛 底
357,L,5,3 金,"si33 tho33 tsh,33 kD21 133",金 筛底 来 下,撒落金 筛底
357,R,1,Z437 7水,tsh33 tsh33 bu2 do21,下 下 虫 旁 落,桑 叶 落 蚕 间
357,R,2,九,0.55 bu21 ne33 tD33,虫 头 摇 也 起,动头 蚕 蛹 摆
357,R,3,N. 九,bu21 tsh:33 4D21 ne 33 hy31,蚕 脚 叶 也 站,蚕 蛹 爬 上 叶
357,R,4,鸟 九 目,bu²1 ni3! tsp33 ng33 t$033,蚕 饿 饭 也 有,蚕 饿 有 食 吃
357,R,5,号 田,zi31 tsh33 bu21 mp 21 13033,虫 睡 床 不 有,没有 作茧 床
358,L,1,,siss tsh:33 yo21 bu²1 ne44,菜 籽 虫 黑 窝,菜 籽 铺 作 床
358,L,2,特 WI π,kp33 thi21 kD33 dzi21 mo21,官老 路 边 路,路 旁 之 首物
358,L,3,去 中 特 π,"mo""s 4055 kD33 dzi21 mo21",高 梁 路 官老,高 梁 物 之首
358,L,4,中 全 &,405s yu² bu2i de44 kyss,梁 杆 虫 上 架,高粱杆 作架
358,R,1,A州A泌,bu²1 Hu3t the33,虫 白 线 白 抽,白 茧 扯 白 丝
358,R,2,州,tgh23 si33 bu21 ni :44 Di4,虫 红 线 红 抽,红 茧 抽 红 丝
358,R,3,3 子,bu21 si33 tche33,虫 金 线 金 抽,黄茧抽 黄 丝
358,R,4,子,bu²p²tcepe3,虫灰 线灰 抽,灰 茧 抽 灰 丝
358,R,5,子,bu²l tce h33 mb 33 SD 33,虫线 抽 完 了,茧 毕 丝 完
359,L,1,亏 开,ne² bu?! tch33 ni33 ob 33,日 吉 虫 线 拉,吉 昼 拉 蚕 丝
359,L,2,ZZ 开,"he31 30 21 ZO"" 55 tc""e""t""e h33h21",夜 吉 我 线 团,吉 夜 绕 丝 线
359,L,3,@,4u33 tcheku3t tsh133the21,白 线九 十 团,白 线九 十 团
359,L,4,3 4,si33 tch3kw33 tsh33the21,金 线九 十 团,黄 线 九 十 团
359,R,1,Dz Z,ni²1 VI33 si33 sur's nu? 33,彝 家 她 三 女,彝 家 三 姊 妹
359,R,2,3 田,si33 di33 mp21 t$033 031,挽 线 坝 不 有,挽 线 无 场 地
359,R,3,与 日,tsh33 SD33 1033 n1²1,十 二 坝 阔 处,十 二 场 坝 地
359,R,4,3 每 刀,si33 31 mu33 b121,挽 线 坝 做 给,作挽 线场 选
360,L,1,九4 3,ku3t tsh13ku5thu,九 十九 截 挽,挽 九 十 九 截
360,L,2,与 # 3,ni21 hp33 ts133 bur44,百 二 十 缎 挽,挽 百 二 十 缎
360,L,3,3,mb 33 e31 SD33,我 线 挽 完 了,把 线 挽 完 了
360,L,4,Dz Z,n1²1 V133 si33 55 su mu,家 她 三 女,彝 家 三 姊 妹
360,L,5,7.0 去 会会,tshi21 3 tD33,我 布 织 的 起,准 备 丝 布 织
360,R,1,画 分,tshu21 lu21 dp21 ze 31 ZD,澄 江 分 线 框,澄 江 分 线 框
360,R,2,见 A Z,du²i pur33 4u33 e31 niss,宜 良 银 布 轴,宜 良 银 布 轴
360,R,3,W 7开,dzi2 lu?s ze 31 dly4,路 南 铜 踩 板,路 南 铜 踩 板
361,L,1,效 ? 7,A21 1044 dly44 me's 031,阿 罗 织 踩 尾,阿 罗 制 支 架
361,L,2,Dz 飞 Z 面,ni²1 VI33 si33 s's nu 33,彝 家 她 三 女,彝 家 三 姊 妹
361,L,3,W 泛張 7.0,kh033 t tshi21 tsi33 tci4 1D33,天 样 套 的 织,布美如 冏日 月
361,R,1,子 日 号,ms mu21 1033 ni33 ne 44,夜 看 天 处 着,夜 里 观 天 空
361,R,2,WI 亏 O 张 光,thi21 ni33 4D33 zi44 leap,一 日 月 影 结,布 白 如 月 光
361,R,3,O 瓷 民 去 7.0,4D33 kh033 bD33 Ip33 tshi21,月 样 亮 的 织,月 白 为 标 准
361,R,4,D2 Z,n121 V133 si33 55 su,葬 家 她 三 女,彝家 三冏 姊 妹
362,L,1,nI 亏 张 7.0,th121 ni33 tshi2,日 星 影 织 一,布 织 星 图 案
362,L,2,张E 7.0,tce 33 :44 reap 1D33 tshi21 Z1,星 影 戴 的 织,星 图 案 精 美
362,R,1,张E 光 每 7.0,leap mu33 tshi21 33,襄 影 戴 的 织,襄 形 图 精 美
362,R,2,子 日 了 配,m²1 1033 te33 D033,天 处 云 戴 见,空 中票 飘白 云
363,L,1,亏 了 张,th21 re&p ni33 te33 .,一 日 云 影 戴,日 织 白 云 图
363,L,2,张 每70,te33 2i4 re&p mu33 tshi21,云 影 戴 的 织,白 精 美 云 图
363,L,3,日 了 配,m3 1033 33 pu te33 D033,地 上 山 峦 见,山 峦 迭 起 伏
363,L,4,nI 亏 张,th121 zi44 013 pu 33 re&p,一 日 山 影 戴,日 织 山 峦 图
363,R,1,张 7.0,33 44 dy31 tshi21 pu Z1 1D33,山 影 戴 的 织,山 峦 图 精 美
363,R,2,飞 介 日,nu 55 ne 44 m133 1033 ni44,女 看 地 处 着,织 女 看 大 地
363,R,3,介 日 用 张 配,m133 1033 D03,地 上 草 影 见,青 草 绿 如 茵
363,R,4,mI 亏 张E,th21 ni33 siss re&p,一 日 草 影 戴,日 织 青 草 图
363,R,5,用 张 光 70,siss tshi21 2i144 leap mu 33,草 影 戴 的 织,青草 图 精美
364,L,1,企 日 ? 张 配,zi44 m1 33 1033 10 4 D03,地 处 石 影 见,奇 石 立 一 一
364,L,2,nI 号 张 ?,zi14 th21 n133 10 4 dy31,日 石 影 戴 一,日 织 奇 石 图
364,R,1,O WI 司 电,xw 44 th121 lu21 t$033 tu33,湖 中 龙 在 地,湖 池 游 蛟 龙
364,R,2,IU 亏 光 A 张E,th21 ni33 lu21 dy31 .,日 龙 影 戴 一,日 织 蛟 龙 图
364,R,3,张E 光 7.0,lu21 zi44 reap mu 33 tshi21,龙 影 戴 的 织,蛟 龙 图 精 美
364,R,4,Dz 飞 Z,V133 si33 ni2! 55 mu 33,葬 家 她 三 女,彝家 三 姊 妹
365,L,1,亏 卡,ni33 th21 me33 thu31,一 日 我 名 出,盛 名 天 下 扬
365,L,2,D2 四至,"n121 me33 dza44 1,33 p""e h33",抢 葬 名 贼 来,彝 名被 贼 抢
365,L,3,Dz 77,n121 gu²1 tshi33 do21,彝 奔 脚 落 大,彝 奔 脚 步 大
365,L,4,至 光,dzD44 44 tshi33 do21 na 55,贼 奔 脚 落 小,贼奔脚 步 小
365,R,1,Dz 如丰 的,qe31 n1²1 pu dzD4 du33,彝 返 贼 后 赶,彝 人 追 赶 贼
365,R,2,W,dza44 qe31 lu's d3 tsh:33,贼 赶 路 南 到,南 追 贼 至 路
365,R,3,田,dZD44 tshi21 dzD21 mp²1 me 33,早饭 贼 吃 不 及,未 及 吃 早 饭
365,R,4,至 见州,dza tsh:33 qe31 dur²1 pu33,贼 追 宜 良 到,追 贼 到 宜 良
365,R,5,田 飞,dzD mp 21 me 33,贼 晚饭 吃 不 及,未及 晚饭 吃
366,L,1,至日 分 N.,tsh;33 dza 44 qe31 qo 55 ZD21,贼 追 昆 明 到,追 贼 至 昆 明
366,L,2,至 女 的,dza du3 qe3i ne33 mg33,贼 后 追 也 及,追 上 了 盗 贼
366,L,3,分 至 3E,1e33 9oSs ZD dza44 da 4,昆 明 贼 脖 断,昆 明 砍 贼 头
366,R,1,答 3E Z,1e33 da 44 siss dzedze,脖 断 血 淋 淋,砍 脖 淋 淋 血
366,R,2,Dz,"n1²1 me"" 33 h33 qo 31 lh,33",葬 名 抢 回 来,彝 名 抢 回 来
366,R,3,Dz 日,n133 tc133 1033 Se33 tce,彝 汉 甸 梁 处,彝 汉 赶 集 场
366,R,4,四星风,phu21 tchi44 33 33 ne me,名 款 抓 也 及,售 布 筹 名 款
366,R,5,女,me33 phu²1 me du33 tsho21,名 款 名 缘 行,筹名款 为 忙
367,L,1,用 世勿,si5s np21 th21 thu33 vu21,首先 卖 一 截,先 卖 一 截 布
367,L,2,田 Z 九,21 si33 bi21 mp b121 ne33,不 给 他 也 给,一 问 买 主 一
367,L,3,九老不 分,tshi21 qhx31 dzi²l ZD33 b121,皂 役 官 儿 给,卖 给 官 与 吏
367,L,4,G 西,fess 21 33 re&p ms me mu33,案 名 穿 的,名为 审 案 衣
367,L,5,女 勿 7#,du33 th12thu33 vu²1 np33,后 来 一 截 卖,后卖 一 截布
367,R,1,田 Z: 九,b121 si33 ne33 b121,不 给 他 也 给,一 一 问 卖 主
367,R,2,田 Z 九,21 si33 33 mp ne Ve33,不 买 他 也 买,唯 有 他 来 买
367,R,3,九 安,"kh133 ne33 1,33 Ve.33",他 也 将 来 买,兵 将 来 买 布
367,R,4,兵 将 来 买 布,khp21 33 33 dy31 mu me,名 的 拷 做 穿,名 为 施 刑 衣
367,R,5,女 勿 WI 74,du3 th1²1thu33 vu21 nD33,后 来 一 截 卖,后又卖 一 截
368,L,1,安,"A21 1y44 kur's 1,3 Ve33",阿 勒 匠 来 买,阿 勒 工 匠 买
368,L,2,田 安 Z 九 安,mp 21 si33 ne33 Ve33 Ve33,不 买 别人 也 买,人 中 他 来 买
368,L,3,Bz 张4 口,Ve33 n121 phu33 t4u44 13,彝寨 人 来 买,彝家 人来 买
368,R,1,3,SD33 duss me33 mu 33,稼 稿 名 的 穿,名 稿 衣 为 稼
368,R,2,Z,me 33 reap nu33 mu33,名 戴 你 头 做,所 有 名 归 你
368,R,3,光 7世 开 Z出,kho21 si33 ne² 21 nu33,柯 兴 诗 安 奴,柯 兴 诗 安 奴
368,R,4,# 7 Z,si44 niss mx 44 gu²1 tsess,铁 犁 木 嘴 接,铁 铧 接 木犁
369,L,1,全 日,aG 55 1033 tsh:33 th121 ni33,阴 处 到 一 日,到 阴 间 之 日
369,L,2,Z 光 X O,tshi21 4D33 VI 33 nD 33,冬 三 月 中,冬 三 月 期 间
369,L,3,冬 三 月 期 间,55 VD21 dlp33 ness m133,阴 地 雪 下 深,阴 间 积 雪 深
369,L,4,7世 子,mu²1 hp zi33 ness,夏 天 雨 呢 深,地 上 雨 水 深
369,R,1,与 田 与,IeP si33 reP enu mp 21,别人 行 你 不 行,你 会 不 适 应
369,R,2,张,me 33 Z1 :44 mu 33 br21 ny33,名 魂 做 给 你,与 你 阴 间 名
369,R,3,光 7世 子 开 Z4,kho21 G133 nu33 ne21,柯 兴 诗 安 奴,柯 兴 诗 安 奴
369,R,4,子 Z 万,A21 si5s kh3 thD²1 mu21,天 以 前 那 时,过 去 之 时 日
369,R,5,74,ku3 t tsh133 nu33 phu21,九 十 你 祖 辈,九十 你 祖 辈
370,L,1,,pu21 nu33 me 33,你 祖 名 获 死,你 祖 获 名 死
370,L,2,你 祖 获 名 死,ZZ O 7,he31 tsh133 n133 ph21 2i33,奶 辈 八 十 你
370,L,3,ZZ O 7,he31 tsh133 n133 ph21 2i33,奶 辈 八 十 你,八 十 你 奶 辈
370,L,4,Z出,ph21 si33 nu33 mg33 $O'S,你 奶 名 获 死,你 奶 获 名 死
370,L,5,700 Z4,"si21 tsh33 nu33 p""D nh21",七 十 你 父 辈,父 辈 七 十 你
370,L,6,子,nu33 phD21 me $0Ss,你 父 名 获 死,你 父 得 名 死
370,R,1,U,zi33 kh031 tsh33 mp 33,六 十 你 母 辈,辈 六 十 你 母
370,R,2,五 2Z4,tsh133 zi33 nDs nu33,五 十 你 兄 辈,五 十 你 兄 辈
370,R,3,你 兄 获 名 死,1 7L 日 nI WI,th121 tsh133 th121 tshi31 1033,一 十 一 代 处
370,R,4,1 7L 日 nI WI,th121 tsh133 th121 tshi31 1033,一 十 一 代 处,辈 第 冏十 是 你
371,L,1,九 Z 子,33 si33 nu33 ne 33 me $055,你 也 名 获 死,你 也 获 名 死
371,L,2,光 7世 开 Z出,si33 kho21 3G 21 nu33,柯 兴 诗 安 奴,柯 兴 诗 安 奴
371,L,3,5 司 日 3=,ni21 ne 44 1$033 1o21 1o21,两 眼 转 圆 圆,两 眼 圆 圆 转
371,L,4,Z# 九,me 33 du33 1i33 ne4 ng33,名 处 看 来 吧,来 看 名 份 经
371,L,5,A 3=,ni21 lp21 np 55 qD 21 1D21,两 耳 直 煽 煽,直 竖 如 扇 两
371,R,1,女 九,33 33 h33 me du33 np ne33,名 处 听 来 吧,来 听 名 份 经
371,R,2,与 3=,ni21 le31 tce 44 VD 21 VD 21,两 手 爪 索 索,两 手 指 伸 展
371,R,3,女 OXX 九,me33 du33 tsess 1h33 ne33,名 处 接 来 吧,来 接 名 份 经
371,R,4,Z4 3=,tshi33 tho31 21 nu33 m6,你 脚 迈 急 急,双 脚 迈 步 急
371,R,5,丽 Z4 住 九,me 33 du33 tsi33 133,名 处 迎 来 吧,来 名 份 迎 经
372,L,1,,dzi21z133 me33 dzi21 2133,献去名献去,奉送名份经
372,R,1,,th121 kho33dzi²zi33 1D33,一 件献去 吧,好好接受 吧
374,L,1,勿,tshi2ldu² 21,药 挖,挖药治病
374,L,2,勿,le31 nD33 tsi2i VDSS,手 脉 病 生摸,病因 摸 脉 诊
374,L,3,众要,m²l th121 dzi2l 106 dz133,处理 前事理 一 章,理事抓端缘
374,R,1,田,mp21 $033 IP du²1 zi33,不诵的 想 呢,原本不想 诵
374,R,2,圭山麓银湖,x033tche21tsh:33 Z133 tD33,水 净砂子脚起,砂滤水洁净
375,L,1,田,tsh:33 tp33 kh33 mD21 X0.33,脚 起 它 不 净,行 走 它 不
375,L,2,田 # 田 #,21 ts133 21 ts133 zi33 mp mp,不 剩 不 剩 呢,寻 思 莫 遗 缺
375,L,3,X 正 勿 小,tshi21 du2l ab 33 nD3 ku33,药 挖 呢 病 治,挖药 呢 治 病
375,L,4,X 签,tshi21 du²1 tshi21 31 qe,药挖 药 找 去,去找药 挖 药
375,R,1,7=7,"q""u21 du21 tc33 kD33",崖端 处 山 冏上 过,走 崖 顶 山 上
375,R,2,7开 # 米,th121 dzi1 ts133 1D.5s zi33,一 章 剩 了 呢,遗 缺 寻 药 经
375,R,3,与 写,"le31 kw"" 3.31 h21 ni)",师 傅 聪明 二 人,贤 经 师 二 人
375,R,4,飞 金 日,aG 21 nu33 1033 b121 $033,我们 诵 你 处 给,诵 经 超 度 你
375,R,5,平u 田 π,kho21 21 dzi21 613 mp 204,若 柯 兴 麻 资,柯 兴 麻 资 若
376,L,1,与 ★ 3=,ni²1 nDs qD² 21 1p21 lp21,二 直 展 扇 扇,两 耳 竖 伸 展
376,L,2,小 女,tshi21 du² m1²1 h33 np,药 挖 事理 听 来,来 听 挖 药 经
376,L,3,与 司 3=,ni21 ne 44 t$o 33 1o21 1o21,二 眼 转 盈 盈,两 眼 转 灵 灵
376,L,4,X,tshi21 ge31 m1²1 ne44 h33,药 赶 事理 看 来,来 看 药 经
376,L,5,亚u 专,kho21 si33 si33 nu33,柯 兴 诗 斯 奴,柯 兴 诗 斯 奴
376,R,1,田 #,mp 21 bu 44 tsiss si21 dZD21,不 饱 前 走 吃,不 饱 去 前 吃
376,R,2,# 日严,1h33 tsiss 1033 dzD nu33,你 来 前 处 吃,你 去 前 面 吃
376,R,3,#7 拼,tsiss dzp21 nu33 tsiss bu 44,先 吃 你 先 饱,你 先 吃 先 饱
376,R,4,7,reazp nu33 bu 44 zi33,你 吃 你 饱 呢,你 吃 饱 以 后
377,L,1,女 配,"tcher 33 l,33 mu np sOG",醒 的 听 来 要,清 醒 来 听 经
377,L,2,X 小 勿,tshi21 du21 qD 33 np 33 ku33,药 挖 呢 病 治,挖 药 治 病 经
377,L,3,3= 子万雨,ne31 ne31 mu² kh133 thD21,早 早 天 那 时,远 古 的 时 候
377,R,1,Z4 4 目,"thp21 ZO 44 t4u33 Z,04",人 生 人 在 时,活 于 人 世 时
377,R,2,X 每,"tshi21 p""D h21 1h33 SD 33 mu 33",父 来 药 找 做,父 亲 去 找 药
377,R,3,U 平u 勿 每,33 zi33 mp G133 nD33,妈 呢 闲 病 做,母 亲 病 闲 家
377,R,4,X 平u 口,tshi21 G133 133 ku33 tshi21,药 闲 来 身洗,药 水 洗 病 身
378,L,1,X 开 开 每 生,33 tshi21 ne21 3G mu 33 SD,药 良 良 的 找,着 意 找 良 药
378,L,2,勿 开,np 33 tshi21 ne 21 mu 33 tshi21,药 物 善待 的 洗,药物 小 心 洗
378,L,3,一关 开 每 不,m1²1 tshi21 ne 21 mu 33 2u33,药 物 善待 的 拿,药物 小 心 拿
378,L,4,X 生,tshi21 tshi21 ne 21 ge31,药 找 药 良 赶,药 去 寻找 良
378,R,1,目 光日 企,qD33 1033 tshi21 t$o33 m13,药 有 何 处 地,何 地 有 良 药
378,R,2,电 目 日,"m121 tso"" 33 ab h33 1033 tu33",药 有 何 处 方,何 方 有 良 药
378,R,3,3 7 去,A21 SD33 di²1 sa$s 1$033,哪 个 知 的 有,谁 人 会 知 晓
378,R,4,去,A21 n33 55 di21 t5033 SD gD,哪 个 闻 的 有,谁 人 可 曾 闻
378,R,5,易 7个,niss bi21 A21 me21,尼 比 布 阿 曼,尼 比 布 阿 曼
379,L,1,效,thw33 b1²1 A21 te3,特 比 阿 晒,特 比 当 阿 晒
379,L,2,特 比 当 阿 晒,si21 nua 33 $055 A21 te33,奴 斯 索 阿 当,奴 斯 索 阿
379,L,3,π 半万 田 国,"dzi21 mu""s kh33 mp 21 33 ne",官 将 他 不 是,非 官 亦 非 将
379,L,4,G 万 7,zi44 kh33 1r33 sa55 fess,案 压 他 来 知,谱熟诉 讼事
379,R,1,日 女,tshi21 tsi?3 kh133 1033 nD33,药棵 她 处 问,问她 药 事 草
379,R,2,女 住 日,m21 tsi33 kh33 1033 np 33,药 棵 她 处 问,草 药 何 处 长
379,R,3,了,b1²1 thu33 A21. te33,尼 比 特 阿,尼 比 特 阿 当
379,R,4,yf 20 住科,"tshi21 z,j33 4D33 tsi33 de21",狗 舌 水 锣 打,狗舌 搅水 响
380,L,1,可中,zi3tche33 ve31 4D33 10.55,猪 舌 水 冏上 涮,猪 舌 水 面 涮
380,L,2,WI 本中,th121 tgh121 1055 do 4 1h33,一 句 涮 出 来,说 出 一 句 来
380,L,3,X 庄 子 双,tshi21 tsi33 mu²1 1021 nu²l,药 棵 天 脸 长,草 药长 天 上
380,L,4,住子 4,toss mi²1 tsi33 mu21 dzo44,药 司 棵 天 台 林,天 台 药 成 片
380,L,5,住 子,tshi21 tsi33 mu 21 yo 31,药 棵 天 际 有,草药天 有 际
380,R,1,X 子 全,tsh:33 tshi21 mu21 8031 $,药 找 天 际 到,找 药 至 天 际
380,R,2,X 住 田 配,tshi21 tsi33 ne44 mp 21,药棵 看 不 见,不 见 有 草 药
380,R,3,目 万 田 文,tso331 kh133 21 m121 mp gD,药 有 她 不 闻,未 闻 有 草 药
380,R,4,未 闻 有 草 药,thu33 niss b1²1 A21 te33,尼 比 特 阿,阿 尼 比 特
381,L,1,X 目 子,tshi21 t3033 mu²l fi33 1$033,药 有 天 分 有,天 地 界 有 药
381,L,2,住 子,m1²1 tsi33 mu²1 fi33 nu²l,药 棵 天 分 长,药长 天 地 界
381,L,3,药长 天 地 界,tho²1dzo qD 55 1o21 nu,托作 高 罗 妮,托 作 高 罗 妮
381,L,4,子,tsho21 si21 tshi33 mu21 fi33,行 走 天 分 到,来到 天 界 地
381,R,1,WI 7,thy2i do21 do21 ID33 tsi33,一 话 话 了 信,头 次 话 真
381,R,2,与 7 九 Z,ni21 do21 ng33 si33,别人 二 话 也 信,二 次 话 亦 信
381,R,3,住 田,tshi21 tsi33 mp 21,药 棵 药 不 找,药 不 找 草 根
382,L,1,丑 丑,tsi33 ne2 tsi33 De21 9e31,胆 良 胆 良 赶,去 寻 求 苦 胆
382,L,2,O,t5133 De21 kw33 tsh3,胆 良 九 十 样,苦 胆 九 十 种
382,L,3,万,kh133 zi33 qe31 133 z.133,那 样 赶 了 去,去 寻 九 十 胆
382,L,4,田 分,tsh33 033 ku33 mp 21 YD 33,九 十 种 不 得,未 九 十 种 获
382,R,1,,033 21 qe31 kur*s tsi33 ne,九 种 胆 良 赶,去 九 种 胆
382,R,2,柔 3,k²u44 m6 tsi33 zi33,雁 胆 呢 角 黄,雁 胆 加 茸 角
382,R,3,3,55 zi33 qD tsi33,小 鹧鸪 胆 呢 皮 黄,鹧 鸪 加 黄 皮
383,L,1,分 特,tsh:33 33 44 15133 YD 1D33 mx,麂 胆 与 獐 麝,麂 胆 与 獐 麝
383,L,2,致 年,tciss bu21 tsi33 kD33 mb 33,怪味 虫 胆 加 完,最 后 加 虫 胆
383,L,3,分,kur's t5133 133 33 ge33 yD,九 赶 得 胆 了,九 种 胆 尽 获
383,L,4,灶 九,du33 qe31 ne33 kur's tsi33,后 也 九 胆 赶,后 再 求 九 胆
383,L,5,后 再 求 九 胆,tsi33 zi33 kurss 9e31 do 4,九 胆 赶 出 呢,寻 九 胆 求 啥
383,R,1,住 五,tho21 tho21 tsi33 be33 t5133,松 棵 松 根 胆,松 壮 根 深 胆
383,R,2,Z Z,duss mu33 tsi33 du's,耕 做 胆 耕 胆,稼 丰 收 胆
383,R,3,每 O,fi33 mu33 t5133 fi33 t5133,健 的 健 胆 胆,体 魄 健 壮 胆
383,R,4,Z4 电 每,4uss 1o21 tsi33 mu qe31,耕 胆 满 的 赶,胆 汁 盈 兆 丰
383,R,5,3,si33 fi33 tsi33 mu 33,金 胆 健 的 胆,金 色 兆 健? 胆
384,L,1,的,fi33 tsi33 qe 31 1D33 tD33,健 胆 赶 了 起,起 身 寻 健 胆
384,L,2,6 的 2,tsi33 fi33 ge31 1h33 zi33,健 胆 赶 来 呢,要 去 寻 健 胆
384,L,3,Z 3 分,qe31 si33 A21 33 SD.33 yD,赶 主 哪 个 的,谁 人 去 寻 找
384,L,4,3 公会,ID33 A21 33 tD3 ge31 SD?,獐 赶 哪 个 起,谁 人 找 獐
384,L,5,的 日,"1D33 qe 31 mu 33 p""u"" h..33 1033",獐 赶 尼 普 处,去 尼 普 寻 獐
384,R,1,开,21 Ip33 tsi33 1D33 xw 44 ne,獐 胆 獐 麝 良,胆 獐 麝 良
384,R,2,X,1D33 tsi33 tshi21 3G 21 3G 55,獐 胆 药 良 是,獐 胆 是 良 药
384,R,3,特 办 OX,1D33 44 33 tsess xw nu ne21,獐 麝 女 巢 接,阴 部 取 麝 香
384,R,4,九 分,tsi33 33 33 Ip33 ne ge31 yD,獐 胆 也 赶 得,獐 胆 寻 得 了
385,L,1,,hD33 1021 tchi1 kurss V133,郝 罗 奇 格 尾,郝 罗 奇 格尾
385,L,2,3 3= 7办 光,q055 si33 si33 me,果 诗 金 繁 戴,果 诗 有 吉 兆
385,L,3,3 Z,ob 55 si33 dzD si33 9021,果 诗 食 吃 主,果 诗 吃饭主
385,R,1,,dzD21 tD33 133 1D33,食 吃 起 来 吧,吃 饭 起 身 吧
385,R,2,奖 每,1D33 t4133 ID33 mu33 do44,獐 攀 做 的 出,起身 去 獐
385,R,3,7 470,4u33 ku3 tsh133 tsh:33,网 白 九 十笼,十笼 白 网 九
385,R,4,W 470,33 tsiss ku33 tsh133t tsh:33 VD,九 十笼 网 制,制 网 九 十笼
385,R,5,3 W,si33 tshi21ku²3 tsh133 tsiss,猎 狗九十 备,备九十猎狗
386,L,1,九4 W 田 分,ku33 t tsh33 tsiss 21 33 mp ax,九 十 备 不 得,没 备 下 九 十
386,L,2,3 办 面 4 分,si33 tshi21 tsh33 33 sur33 ax,猎 狗 三 十 得,获 三 十 猎 狗
386,L,3,3 雪,si33 4e5s su33 tsh33 Z.O 44,猎 伙子 三 十 人,猎 手 三 十 人
386,L,4,日,"tche31 55 h_33 1033 bu21 np"""" tc""e",背 背 弓 箭 处,弓 箭 背 背 上
386,L,5,3= 每,do44 sur²1 sur2i tD33 mu33,刷 刷 起 立 做,刷 站起身
386,R,1,田 3 电 日,mp 21 tu33 1033 tsh;33 小3,不 猎 地 处 到,至 远 方 猎 场
386,R,2,4 来,33 4u33 md VD21 bur33,山 头 雪 白 堆,山 头 覆 白 雪
386,R,3,HZ 3,pu phe44 fess 1e0X,山 半 崖 际 猎,猎 半 山 崖 洞
386,R,4,7 4P,33 tho33 si44 21 433 md,大 林 山 脚 木,山 脚 林 密 深
387,L,1,3 3=,"he4 h21 S06 p""D",果 诗 猎 狩 郎,果 诗 猎 狩 郎
387,L,2,#咖 日,dz121 905 kD33 1033,兽 野 道 口 处,野 兽逃 道 口
387,L,3,去H,"VD 33 to44 ID33 te33 ts""x",桩插 网 了 立,网 桩插 稳 实
387,L,4,网 桩插 稳 实,tshi21 3th33 dlu3,狗放 山林 底 进,猎狗进 山箐
387,R,1,日,le31 33 tche31 npss 1033 ob,弓 箭 手 处 拉,手 拉 开弓 弦
387,R,2,田 介 里,1031 th121 ky44 1031,不 成 一 遍 成,出 现 一 景 状
387,R,3,至岛九孔码,tho21 tshi²1 dz.D²1 tD33,山林 底 狗 吠 起,箐厂 底 猎狗 吠
387,R,4,了 列3,si33 xzpzpnb Z.044,猎 人声,猎人声鼎沸
388,L,1,π 丰,ni44 qw dzi21 1D33 do44,冠 指 獐 红 出,竖 角 子 獐 出
388,L,2,日 答,tsh133 1033 1e33 VD.33 ne44,网 十 眼 处 裹,十 网 眼 裹 住
388,R,1,田 Z 又,21 21 VI33 mp zu ID33 tDss,不 捉 啊 拿 搁,任 它 网 中 裹
388,R,2,甘 与 司 答,ni21 dD21 9033 t$033 1e33,曲 二 转 滚,曲 滚 两 圈
388,R,3,不 丑 与,ba44 3G 21 ni21 xw,射 具 次 拴 二,拉 弓 射 两 次
388,R,4,% 丑 与 答,ne² 21 ni²1 1e33 tshi44,杀 具 二 脖 断,刀 断 两 次 脖
388,R,5,飞 正,"1tgh33 l,33 th,33 mu²l",老 请 公道 来 请,请 公 道 老者
389,L,1,%,dess le31 k033 1y33 XD21,伙子 手 快 来 杀,伙 子 快 解 肉
389,L,2,% 子 A,1D33 XD mu² 4u33,肉 天 白 献,獐 肉 祭 天 神
389,L,3,子 A % 田 口,mu21 4u33 XD21 mD2l no*s,天 白 肉 不 软,祭 天 肉 坚 硬
