序号,页码,撒尼语读音(我方记法),汉文释义,义项数
2225,88,niJ lɔJ,二两,1
2226,88,niJ mɔ+,母子俩,1
2227,88,niJ mɔ+,两个,1
2228,88,niJ mɛJ fɯ+,夫妻俩,1
2229,88,niJ o+,两样,1
2230,88,niJ o7 niJ mɛi7,两边；两端,1
2231,88,niJ pu+ tʂhiJ pu+,二分之一,1
2232,88,niJ pʰi7,双方,1
2233,88,niJ pʰi7 niJ dlɔ+,两侧,1
2234,88,niJ pʰi7 niJ nɔ7,两端,1
2235,88,niJ pʰɔJ,父子俩,1
2236,88,niJ thɿJ pʰɛi+,遍地,1
2237,88,niJ thɿJ pʰɛi+ ZɯJ dɛiJ dɛiJ,通用,1
2238,88,niJ tʂɛi+,二十,1
2239,88,niJ tʂɛi+ khu7,二十九,1
2240,88,niJ tʂɛi+ thɿJ,二十一,1
2241,88,niJ tʂʰɔ+,两股,1
2242,89,ni+ mɔ+,心；心肠,1
2243,89,ni+ mɔ+ SA7,知心,1
2244,89,ni+ mɔ+ Xɔ+ duJ duJ,迷迷糊糊,1
2245,89,ni+ mɔ+ dlAJ dɔ+,灰心,1
2246,89,ni+ mɔ+ dlɯ+,关心,1
2247,89,ni+ mɔ+ duJ,欲望,1
2248,89,ni+ mɔ+ duJ ʑɛiJ,雄心壮志,1
2249,89,ni+ mɔ+ dʐɔJ,诚实,1
2250,89,ni+ mɔ+ khu+,心里；心情,1
2251,89,ni+ mɔ+ khu+ Su7 tʂʰɔ+,心中有数,1
2252,89,ni+ mɔ+ khu+ doJ be+,说心里话；②核,1
2253,89,ni+ mɔ+ kʰɔ+ duJ,放心,1
2254,89,ni+ mɔ+ kʰɔ+ dɛiJ,忍心,1
2255,89,ni+ mɔ+ lɿJ ZɿJ pɿ+ mɔJ ni+,提心吊胆；魂不附体,1
2256,89,ni+ mɔ+ mɔJ dʐɔJ,不诚实,1
2257,89,ni+ mɔ+ niJ hɯJ dlɔ+,犹豫,1
2258,89,ni+ mɔ+ nɔ+,伤心；痛心,1
2259,89,ni+ mɔ+ nɔ7,心慈,1
2260,89,ni+ mɔ+ nɛ+,诚恳；忠厚,1
2261,89,ni+ mɔ+ nɛ+ tʂAJ,好办,1
2262,89,ni+ mɔ+ nɛi+ nɛi+,顺从,1
2263,89,ni+ mɔ+ nɛi+ tʂi+,惊心动魄,1
2264,89,ni+ mɔ+ pe7,变心,1
2265,89,ni+ mɔ+ pɛi+,灰心；懊悔,1
2266,89,ni+ mɔ+ tʂAJ,善良,1
2267,89,ni+ mɔ+ tʂi7,考验,1
2268,89,ni+ mɔ+ tʂʰo+,诚意,1
2269,89,ni+ mɔ+ tʂʰɛ+ mɔ+ tʰɔ7,莫不关心,1
2270,89,ni+ mɛi+,遗忘；忘记,1
2271,89,ni+ mɛi+ dɿJ,健忘,1
2272,90,ni+ Se+,刻薄；毒辣；恶劣；恶毒；凶恶；心狠,1
2273,90,ni+ Se+ Se+ mu+,恶狠狠地,1
2274,90,ni+ Se+ nɛi+ tʂi+,心狠手毒,1
2275,90,ni+ Si7,称心,1
2276,90,ni+ Zɛi+,生气；气愤；冒火；愤怒；恼火；发怒；忿；愤懑,1
2277,90,ni+ Zɛi+,①讥笑 ②讽刺,2
2278,90,ni+ Zɛi+ doJ,讽刺别人的语言,1
2279,90,ni+ Zɛi+ nɛi+ pɛi+,怒气冲冲,1
2280,90,ni+ ZɛiJ,胆大；勇敢,1
2281,90,ni+ ZɛiJ nɛi+ lɛi+,麻痹大意,1
2282,90,ni+ be+,悉心,1
2283,90,ni+ duJ,①想 ②将要,2
2284,90,ni+ duJ lɔ+ Si7,意料之中,1
2285,90,ni+ duJ niJ mɔJ pe+,力不从心,1
2286,90,ni+ duJ nɛi+ mɔJ Si7,事与愿违,1
2287,90,ni+ dɛi7,贪心,1
2288,90,ni+ dɿ7,嫉妒,1
2289,90,ni+ gɔJ,珍惜；疼爱,1
2290,90,ni+ khuA7,惦念,1
2291,90,ni+ lɔJ,满意,1
2292,90,ni+ mɔ+ XɔJ,如意,1
2293,90,ni+ mɔ+ ghe+ gɔ7,硬心肠,1
2294,90,ni+ mɔ+ lɿ+ tʰɔ+ mɔJ tʂʰɔ+ lɔ7,心不在焉,1
2295,90,ni+ mɔ+ tʂi+,不甘心,1
2296,90,ni+ nA+ dɔ+,闹情绪,1
2297,90,ni+ nɔ+,成见,1
2298,90,ni+ nɛ7,胆小,1
2299,90,ni+ nɯ+,情人(指女方)；情妇,1
2300,90,ni+ nɯ+ mɔ+,妇女,1
2301,90,ni+ tu+ gɔ7,胸膛,1
2302,90,ni+ tɛ+,喜爱,1
2303,90,ni+ tʂi+,甘心,1
2304,90,ni+ tʰɔ+,腻,1
2305,90,ni+ ʐɔ7,难过；悲哀；悲痛；伤心,1
2306,91,ni+ XɔJ,称心如意,1
2307,91,ni+ ZɿJ,鲜红,1
2308,91,ni+ ZɿJ ZɿJ,红彤彤,1
2309,91,ni+ buJ,红色,1
2310,91,ni+ buJ buJ,紫红,1
2311,91,ni+ buJ mɔ+,朱红,1
2312,91,ni+ buJ ni+ lɔJ tʂɛ+,赤裸裸,1
2313,91,ni+ buJ ni+ thɿ7,光溜溜,1
2314,91,ni+ buJ ni+ thɿ7 thɿ7,光溜溜的,1
2315,91,ni+ buJ ni+ ʐɔ+,红红绿绿,1
2316,91,ni+ dlɛJ,红色,1
2317,91,ni+ dlɛJ dlɛJ,大红,1
2318,91,ni+ ghe+,硬心肠,1
2319,91,ni+ ghɔJ ni+ Se+,残酷无情,1
2320,91,ni+ gɯJ,紫红,1
2321,91,ni+ gɯJ gɯJ,红艳艳,1
2322,91,ni+ ho+,怄气,1
2323,91,ni+ hoJ,浑浊；浑水；污水,1
2324,91,ni+ ŋɯ7,爱慕；仰慕；羡慕,1
2325,91,ni+ ʐA+,恶心,1
2326,91,ni+ ʐɔ+,翠绿色,1
2327,91,ni+ ʐɔ+ ni+ pɿ7,绿油油,1
2328,91,ni+ ʐɔ+ ʐɔ+,绿茵茵,1
2329,91,ni+ ʐɔJ,心坎,1
2330,91,niJ,饿,1
2331,91,niJ pe+ dʐe+ pe+,饥寒交迫,1
2332,91,niJ pu7,十分饥饿,1
2333,91,niJ tɛ+,受饥；挨饿,1
2334,91,niJ tʂA+,饿伤,1
2335,91,niJ tʂi+,饿死,1
2336,91,nɿ7,神,1
2337,91,nɿ7 Vɛi+,鬼神；魔鬼；妖魔,1
2338,92,ne+,①眼睛 ②看,2
2339,92,ne7,①深 ②稠密,2
2340,92,ne7 Xɯ+,早上；清晨,1
2341,92,ne7 heJ,明年,1
2342,92,ne7 heJ ne7 nɛi+ ghɔJ,后年,1
2343,92,ne7 ne7 duJ,深挖,1
2344,92,nɛiJ,逆(字头),1
2345,92,nɛiJ XuAJ,怀疑,1
2346,92,nɛiJ lɿJ tʂiJ tʂhɯJ tʂiJ tʂiJ beJ,宁蒗彝族自治县,1
2347,92,nɛiJ phɛiJ A+,尼泊尔,1
2348,92,nɛiJ ʐɔJ,呢绒,1
2349,92,nɿ+,你,1
2350,92,nɿ+ ŋɔ+,你我俩,1
2351,92,nɿ+ ʐɔ+,你的,1
2352,92,nɿ7 SeJ,吝啬,1
2353,92,nɿ7 Vɛi+ ku+,念经；驱妖,1
2354,92,nɿ7 dɔ+,快点念(报纸),1
2355,92,nɿ7 thɔJ,纪念品,1
2356,92,nɿ7 thɔJ mu+,留念,1
2357,92,nɿJ,撒尼(撒尼人的自称),1
2358,92,nɿJ,①泡(专指核桃) ②旺(专指火),2
2359,92,nɿJ dzɔJ,石碾子,1
2360,92,nɿJ dzɔJ hɛ+,碾房,1
2361,93,beJ ne+ tʂi+,去看摔跤,1
2362,93,ne+ bu+ tʂhi+,眉毛,1
2363,93,ne+ bu+ tʂʰo7,皱眉头,1
2364,93,ne+ bɔ+,显眼,1
2365,93,ne+ dAJ xɔ+,失望,1
2366,93,ne+ du+,翳子(生在眼中的白点),1
2367,93,ne+ du+ pɛi+,翻,1
2368,93,ne+ duJ muJ gɔ+ tʂA+,迫不得已,1
2369,93,ne+ duJ ne+ l?ɿJ,眼窝下陷,1
2370,93,ne+ dɔJ,睁眼,1
2371,93,ne+ dɔJ dɔJ,目不转睛,1
2372,93,ne+ dɛi+,看破,1
2373,93,ne+ dɛiJ,眼屎,1
2374,93,ne+ dɛiJ nɔ7 khɔJ,惊慌,1
2375,93,ne+ fAJ,看法,1
2376,93,ne+ mAJ,干眼屎,1
2377,93,ne+ muJ dʐɿ7,眯着眼,1
2378,93,ne+ muJ ne+ muJ tʂhi+,眨眼,1
2379,93,ne+ muJ tʂhi+,①盲目 ②闭眼,2
2380,93,ne+ mɔJ dlɔ+,不在话下,1
2381,93,ne+ mɛ+,眼角,1
2382,93,ne+ mɛ+ tʂi7,①斜视 ②瞪眼,2
2383,93,ne+ nAJ ne+ tʂi+,垂头丧气,1
2384,93,ne+ nɛi+ ʐɔ7,难看,1
2385,93,ne+ pʰi7 tʂi7,偏见,1
2386,93,ne+ pʰu+,睁眼,1
2387,93,ne+ pʰu+ pʰu+,眼睁睁地,1
2388,93,ne+ pʰɛ+ ne+ ZɿJ,厚脸皮,1
2389,93,ne+ the+,眼明；目锐,1
2390,93,ne+ tu+,瞄准,1
2391,93,ne+ tuɯ7 mɔ+,近视眼,1
2392,93,ne+ tɛ+,喜爱；看中,1
2393,93,ne+ tʂi7 mɔ+,独眼龙,1
2394,93,ne+ tʂɿ7,干瞪眼,1
2395,93,ne+ tʂɿ7 tʂɿ7 mu+,目瞪口呆；惊讶,1
2396,94,ne+ SiJ,眼睛,1
2397,94,ne+ SiJ buJ dʐɛiJ tʂi+,眼花缭乱,1
2398,94,ne+ SiJ kʰɔ+ mɔ+ ne+,瞳孔,1
2399,94,ne+ SiJ kʰɔ+ nɛi+ mɔ+,眼珠,1
2400,94,ne+ SiJ nɔ+ tʂhiJ,眼药,1
2401,94,ne+ SiJ the+ tʂʰɿ+,嫉妒,1
2402,94,ne+ Sɔ+,精彩,1
2403,94,ne+ dlɔ+,顺眼,1
2404,94,ne+ dʐi+,刺眼,1
2405,94,ne+ dʐiJ,监视,1
2406,94,ne+ dʐɔ+ tʂi7,笔管草(一种野生植物),1
2407,94,ne+ khu+,眼角,1
2408,94,ne+ khu+ ZɛiJ,瞪眼,1
2409,94,ne+ kʰɔ+ bɔJ gɯ+,眯眼睛,1
2410,94,ne+ kʰɔ+ tʂɔ+ mɔJ tʂʰɿ+,轻视；蔑视；歧视,1
2411,94,ne+ kʰɔ+ tʂɔ+ tʂhiJ,看得起,1
2412,94,ne+ lɔ7,期望,1
2413,94,ne+ lɛ+ bɯ+,麦粒肿；偷针眼(眼皮上生小泡),1
2414,94,ne+ tɖe7,戳眼,1
2415,94,ne+ tʂA+,瞎眼,1
2416,94,ne+ tʂA+ mɔ+,瞎子,1
2417,94,ne+ tʂAJ,好看,1
2418,94,ne+ tʂhi+,眼睫毛,1
2419,94,ne+ tʂi+,看守,1
2420,94,ne+ tʂi+,眼泪,1
2421,94,ne+ tʂi+ SiJ tʂi+ lɔJ,含泪,1
2422,94,ne+ tʂi+ dɔ+,流泪,1
2423,94,ne+ tʂi+ ne+ nAJ,无精打采,1
2424,94,ne+ tʂi+ ne+ pA+ tʂʰɿ+,泪水涔涔,1
2425,94,ne+ tʂʰɔ+,视力；目光,1
2426,94,ne+ tʂʰɔ7,眼镜,1
2427,94,ne+ tʂʰɔ· nɛi7,目光短浅,1
2428,94,ne+ ŋɛi+,晕；晕车,1
2429,94,ne+ ŋɛi+ ne+ dɔJ,头昏目眩,1
2430,94,ne7 khɔJ,魔术,1
2431,94,ne7 khɔJ gɔ+,耍魔术,1
2432,95,ne+ Si+,黑彝(彝族的一个支系),1
2433,95,ne+ Xɔ7,眼馋,1
2434,95,ne+ bɛ+,灰黑色,1
2435,95,ne+ duJ,深黑色,1
2436,95,ne+ ghɔJ du7,①天黑 ②黑暗,2
2437,95,ne+ ghɔJ ne+ du7,漆黑,1
2438,95,ne+ gɔ+ mɔJ tʂɔ7,不在话下,1
2439,95,ne+ gɯJ,网兜,1
2440,95,ne+ gɿ+,①假面具 ②眼镜 ③镜子,3
2441,95,ne+ gɿ7,眼皮,1
2442,95,ne+ hɯJ hɯJ,黑黝黝,1
2443,95,ne+ kʰɔ+,黑色,1
2444,95,ne+ lɔJ lɔJ,黑黝黝,1
2445,95,ne+ muJ ne+ thɿ+,乌黑,1
2446,95,ne+ muJ thɿ+,黑黑的,1
2447,95,ne+ pu+ ne+ l?ɯJ,又黑又大,1
2448,95,ne+ pu7,洞,1
2449,95,ne+ pɛi+,青色,1
2450,95,ne+ tʂhiJ,褐色,1
2451,95,ne+ ŋɔ+,发现；发觉；看见,1
2452,95,ne+ ŋɔ+ dzɔ+,司空见惯,1
2453,95,ne+ ŋɔ+ leJ mɔJ mɛi+,可望而不可及,1
2454,95,ne+ ŋɔ+ lɔJ lɔJ Si7,记忆犹新；历历在目,1
2455,95,ne+ ŋɔ+ nɔ7,见过,1
2456,95,ne+ ʐAJ,熬眼,1
2457,95,ne+ ʐɯJ duJ,眼前,1
2458,95,neJ,早,1
2459,95,neJ mu+ khɿJ tʂiJ kʰɿ7,古时候,1
2460,95,neJ mu+ neJ tʂi+,大清早,1
2461,96,mɛi+ nɛJ,很近,1
2462,96,neJ dlɛi+,迟早；早晚,1
2463,96,neJ dlɛi+ thɿJ nɛi+,有朝一日,1
2464,96,neJ e7 neJ,很早,1
2465,96,neJ hɯ+,黄昏,1
2466,96,neJ lɔ+ tʂʰ?ɯ7,趁早,1
2467,96,neJ neJ,①早日 ②早早,2
2468,96,nɛ+,①和；与 ②也 ③但是,3
2469,96,nɛ+,春,1
2470,96,nɛ+,①好吃 ②低洼 ③矮,3
2471,96,nɛ+ dɛJ,立春(节令),1
2472,96,nɛ+ dɛJ nɛ+ tʂi+ tʂɔ7,春来草发芽,1
2473,96,nɛ+ dɛi+,春风,1
2474,96,nɛ+ dɛi+ mu+ l?ɯ+ l?ɯ+,刮春风了,1
2475,96,nɛ+ muJ duJ,春雷,1
2476,96,nɛ+ muJ hɔ+,春雨,1
2477,96,nɛ+ nɛi+ ʑɛi+,昼长,1
2478,96,nɛ+ thɔJ,春天,1
2479,96,nɛ+ tʂi+ hɔ+ nɛi+,雨水(节令),1
2480,96,nɛ+ ŋe+ qɿ7 pɯ+ mɔ+,杜鹃报春来(文学语),1
2481,96,nɛ7,①遗失 ②落,2
2482,96,nɛ7 xɔ+,遗失；丢失；失掉,1
2483,96,nɛJ,近,1
2484,97,nA+,①湿 ②烂(稀),2
2485,97,nA+ bɿJ nA+ ʐɔ7,稀烂,1
2486,97,nA7,烧,1
2487,97,nA7 XuA7 xɔ+,烧化,1
2488,97,nA7 Zɛi+,烧脆,1
2489,97,nA7 dɿJ,燃烧,1
2490,97,nA7 tʂÃ+,烧伤,1
2491,97,nA7 xɔ+,烧毁,1
2492,97,nAJ,缝,1
2493,97,nAJ pu+,缝补,1
2494,97,nAJ tɖi+ tɖi+,湿淋淋,1
2495,97,nAJ tʂe7 ZɛiJ tʂhɯJ tʂiJ tʂiJ beJ,南涧彝族自治县,1
2496,97,nAJ tʂi+,南京(市),1
2497,97,nɔ7,箭,1
2498,97,nɔ7,①耳 ②怎(停止) ③多 ④呼唤 ⑤诱饵,5
2499,97,nɔ7 Si+,祖宗灵牌,1
2500,97,nɔ7 Si+ tʂɔ+ ʑɛi+,祭祖,1
2501,97,nɔ7 bA+,射箭,1
2502,97,nɔ7 dɔ+,箭头,1
2503,97,nɔ7 mɔ+ pu+,弓,1
2504,97,nɔ7 tʂhi+,弓箭,1
2505,97,nɛ+ mɛi+ nɛ+ tɯ+,甜蜜的地方(文学语),1
2506,98,nɔ+,①病 ②痛；疼,2
2507,98,nɔ+ Si+,瘟疫,1
2508,98,nɔ+ SiJ,淋巴腺炎,1
2509,98,nɔ+ bɛ+,病根,1
2510,98,nɔ+ bɿJ,霍乱；鼠疫；瘟疫,1
2511,98,nɔ+ l?iJ,病重,1
2512,98,nɔ+ ne+,看病；诊断,1
2513,98,nɔ+ pu7,病卧不起,1
2514,98,nɔ+ thɔJ,病时,1
2515,98,nɔ+ tɛ7,患病,1
2516,98,nɔ+ tʂhiJ,药；药品,1
2517,98,nɔ+ tʂhiJ Sɛi+,搽药,1
2518,98,nɔ+ tʂhiJ mu+,药粉,1
2519,98,nɔ+ tʂhiJ p?he7,熬药,1
2520,98,nɔ+ tʂhiJ pʰuJ,药费；医疗费,1
2521,98,nɔ+ tʂhiJ pʰɿ7,配药,1
2522,98,nɔ+ tʂhiJ tʂi7,服药,1
2523,98,nɔ+ tʂhiJ tʂɔ+,煎药,1
2524,98,nɔ+ tʂhiJ ʑɛi+,敷药,1
2525,98,nɔ+ tʂi+,病故；病死,1
2526,98,nɔ+ tʂiJ mɔ+,急病,1
2527,98,nɔ7 bɔJ,聋,1
2528,98,nɔ7 bɔJ Sɔ+ leJ leJ,静悄悄,1
2529,98,nɔ7 dɛiJ,耳屎,1
2530,98,nɔ7 dɛiJ gA7 tu+,挖耳(掏耳屎的工具),1
2531,98,nɔ7 kʰɔ+,增加；添,1
2532,98,nɔ7 mɔ+,栗子,1
2533,98,nɔ7 mɛi+,①刺耳 ②泼辣,2
2534,98,nɔ7 nɔ7,顶多,1
2535,98,nɔ7 nɔ7 ZɛiJ,更大,1
2536,98,nɔ7 nɔ7 tʂAJ,更好,1
2537,98,nɔ7 nɔ7 ʐɔJ ʐɔJ,多多少少,1
2538,98,nɔ7 nɛi+ mɔ+,细米,1
2539,98,nɔ7 pɔ+,耳朵,1
2540,98,nɔ7 pɔ+ Xɔ7 tʂhi+,掩耳,1
2541,98,nɔ7 pɔ+ ne+,耳眼；耳孔,1
2542,98,nɔ7 pɔ+ ne+ SiJ mu+,以耳代目,1
2543,98,nɔ7 pɔ+ ŋɛi+,耳鸣,1
2544,98,nɔ7 tu+,诱饵,1
2545,98,nɔ7 tʂhi+,耳朵根,1
2546,98,nɔ7 tʂi+,耳坠,1
2547,98,nɔ7 tʂi+ mɔ+,耳环,1
2548,98,nɔ7 ʐɔJ,多少,1
2549,98,nɔ7 ʐɯ+ tʂɔ+,兔丝子(长在刺棵上的一种寄生植物),1
2550,98,nɔ7 ʐɯJ bɿ7,学古理(古语),1
2551,99,nɔ+ Zɛi+,伤风；感冒,1
2552,99,nɔ+ ho+,疗养,1
2553,99,nɔ+ ho+ hɛ+,疗养院,1
2554,99,nɔ+ khɔ+,病期,1
2555,99,nɔ+ khɔ+ dzɔJ,带病,1
2556,99,nɔ+ khɔJ,痊愈,1
2557,99,nɔ+ ku+,治病；治疗,1
2558,99,nɔ+ ku+ hɛ+,医院,1
2559,99,nɔ+ ku+ tʂho+,医生；医务人员,1
2560,99,nɔ+ ku+ ʐɔ+,医务室,1
2561,99,nɔ+ ku+ ʑɛi+ tʂi+,医师,1
2562,99,nɔ+ kʰɔ+,病,1
2563,99,nɔ+ kʰɔ+ tʂʰɔ+,害病,1
2564,99,nɔ+ tʂʰɛi+,虐疾(发摆子),1
2565,99,nɔ+ ʐɔ+,①呻吟 ②叫苦连天,2
2566,99,nɔ+ ʐɔJ,症状,1
2567,99,nɔ+ ʐɯJ,病程潜伏期,1
2568,99,nɔ+ ʐɯJ ghe+,忍病；坚持,1
2569,100,nɔ+,①听 ②问 ③鼻子,3
2570,100,nɔ+ Si7,鼻血,1
2571,100,nɔ+ Sɔ+,动听；好听,1
2572,100,nɔ+ bi+,鼻涕,1
2573,100,nɔ+ bi+ Xɯ+,擤鼻涕,1
2574,100,nɔ+ bi+ mɿJ tʂhiJ,掩鼻,1
2575,100,nɔ+ bi+ ne+,鼻孔,1
2576,100,nɔ+ bi+ nɔ+,鼻毛,1
2577,100,nɔ+ bɛ+ tʂi+,寻根究底,1
2578,100,nɔ+ bɿJ pu7,鼻梁,1
2579,100,nɔ+ du+ mɛi+,追问,1
2580,100,nɔ+ dɔJ ghɔJ,问答；解答,1
2581,100,nɔ+ hɯ+ ne+ nɛi+ dɛi+,听腻；腻耳,1
2582,100,nɔ+ kʰɔ+,诽谤,1
2583,100,nɔ+ kʰɔ7,后边；后方,1
2584,100,nɔ+ kʰɔ7 thɿJ dɔJ,①反面 ②背面,2
2585,100,nɔ+ kʰɔ7 thɿJ pɿ7,下一代,1
2586,100,nɔ+ nɯJ,嗅觉,1
2587,100,nɔ+ pu7 mɯ+ mɿJ,嗤之以鼻,1
2588,100,nɔ+ tʂho7,错听,1
2589,100,nɔ+ tʂi+,清鼻涕,1
2590,100,nɔ+ ʐɔ7,难听,1
2591,100,nɔJ,①你们 ②落,2
2592,100,nɔJ Zɛi+,你们,1
2593,100,nɔJ l?ɿ+ dʐ?ɿJ,你们这些,1
2594,100,nɔJ nɿJ mɔ+,你俩,1
2595,100,nɔJ ʐɔ+,你们的,1
2596,101,nɔ+ gɔJ,听见,1
2597,101,nɔ+ gɔJ mɔJ nɔ7,没有听见过,1
2598,101,nɔ+ ŋɿ7,干鼻涕,1
2599,101,nɔ+ ʐɔ+,听懂,1
2600,101,nɔ7,工作；活儿,1
2601,101,nɔ7 Se+ thɔJ,农闲,1
2602,101,nɔ7 dw+ ʐɔ+ dw+,误工；耽误,1
2603,101,nɔ7 mu+,耕作；劳动；干活；做活；工作,1
2604,101,nɔ7 mu+ gw+,完工,1
2605,101,nɔ7 mu+ tsho+,农民,1
2606,101,nɔ7 mu+ tu+,农具,1
2607,101,nɔ7 mu+ ʐɔ+ tʂo+,有活干,1
2608,101,nɔ7 mɔJ mu+,不干活；旷工；罢工,1
2609,101,nɔ7 tʂiJ thɔJ,农忙,1
2610,101,nɔ7 tʂiJ tɔ+ lɿ+ nɛi+,小满(节令),1
2611,101,nɔ7 tʂʰɛi+,派工,1
2612,101,nɔ7 ŋɯJ,物资,1
2613,101,nɔ7 ŋɯJ VuJ tsho+,售货员,1
2614,101,nɔ7 ŋɯJ dlɛ+,充足,1
2615,101,nɔ7 ŋɯJ dlɯ+,装货,1
2616,101,nɔ7 ŋɯJ dɛ7,卸货,1
2617,101,nɔ7 ŋɯJ dɛJ,卖乐?(词义字不确定),1
2618,101,nɔ7 ŋɯJ dɛi+ mɔ+,废物,1
2619,101,nɔ7 ŋɯJ tɛ7,捎带东西,1
2620,101,nɔ7 ʐɔ7,费劲；艰难；难办,1
2621,101,nɔ7 ʐɔ7 nɔ+,妇科病,1
2622,101,nɔ7 ʐɔJ,物件；东西；货物,1
2623,101,nɔ7 ʐɔJ VuJ,卖东西,1
2624,101,nɔ7 ʐɔJ Vɛi+,买东西,1
2625,101,nɔ7 ʐɔJ Vɛi+ tɔ7,搁放东西,1
2626,101,nɔ7 ʐɔJ phAJ,搬东西,1
2627,101,nɔ7 ʐɔJ phuJ,物价,1
2628,101,nɔ7 ʑɛi+,息工,1
2629,102,nɔ+,亲(近亲的亲),1
2630,102,nɔ+,①碎 ②毛 ③豆(古语),3
2631,102,nɔ+ buJ nɔ+ bɛ+,破破烂烂,1
2632,102,nɔ+ bɔJ,毛稀疏,1
2633,102,nɔ+ bɛ+,毛松松,1
2634,102,nɔ+ mɛi+,抓着,1
2635,102,nɔ7,①猴子 ②经过；到过,2
2636,102,nɔ7,①嫩 ②软 ③软弱,3
2637,102,nɔ7 bɿJ,软,1
2638,102,nɔ7 bɿJ bɿJ,软绵绵,1
2639,102,nɔ7 bɿJ nɔ7 tʂi+,软弱；娇嫩,1
2640,102,nɔ7 dɔ+,猴月(农历七月),1
2641,102,nɔ7 dɔJ dɔJ,嫩生生,1
2642,102,nɔ7 ghɔJ,申(属猴年),1
2643,102,nɔ7 pheJ dɔJ,蕨萝叶(土语),1
2644,102,nɔ7 pheJ lɔJ hɛ+,树叶帽,1
2645,102,nɔ7 ʐɔ+,软处,1
2646,102,ɿ+ nɔ+,近来,1
2647,103,khɯ+ nɿ+,勤快,1
2648,103,nõJ neJ,农业,1
2649,103,nõJ tʂhÃ+,农场,1
2650,103,nɔ+ Zɛi+ lɛ+,好毛；精制的毛,1
2651,103,nɔ+ dɔ+ bɛ+,毛衣,1
2652,103,nɔ+ ghɔJ,汗毛,1
2653,103,nɔ+ nɯJ,长毛(食物发霉后长出的毛),1
2654,103,nɔ+ thu+,毛厚,1
2655,103,nɔ+ tʂʰɛi+,毛线,1
2656,103,nɔ+ ʑi7,细毛,1
2657,103,nɔJ kɛiJ,罗嗦,1
2658,103,nɔJ·nõJ,(字头，两读),1
2659,103,nɯ+,①炷 ②润,2
2660,103,nɯ+ nɯ+ dzɯ7 dzɯ7,①侧身 ②不合群,2
2661,103,nɯ+ phÃ+,孤僻(指孤独怪僻),1
2662,103,nɯ+ phÃ+ phÃ+ mu+,反其道而行之,1
2663,103,nɯ7,①揉 ②情妹,2
2664,103,nɯ7 mɔ+,妹妹,1
2665,103,nɿ+,①快(勤快的快) ②子(鞋子的子) ③不肯吃(专指猪),3
2666,103,tʂhi+ nɿ+,鞋子,1
2667,104,nɯ+,①穗 ②女儿,2
2668,104,nɯ+ Xɔ+,女神,1
2669,104,nɯ+ dlɔ+,旁边,1
2670,104,nɯ+ dlɔ+ mɛi+,侧面,1
2671,104,nɯ+ dlɔ+ tsho+,旁人,1
2672,104,nɯ+ dlɔ+ tsi+,靠近,1
2673,104,nɯ+ dziJ,湿,1
2674,104,nɯ+ dzɯ7,侧身,1
2675,104,nɯ+ dzɯ7 nɯ+ dzɯ7,偏斜,1
2676,104,nɯ+ dɔ+,抽穗,1
2677,104,nɯ+ lɛ+,打包(指麦子结实),1
2678,104,nɯ+ mɔ+,妇女,1
2679,104,nɯ+ tʂhiJ,孤女,1
2680,104,nɯ+ ʐɯJ,肋骨,1
2681,104,nɯ+ ʐɯJ nɔ+,肋骨痛,1
2682,104,nɯ+ ʐɿJ,潮湿,1
2683,104,nɯJ,①长 ②嗅,2
2684,104,nɯJ khɯ+,芽；苗,1
2685,104,nɯJ khɯ+ nɔ7 bɿJ zɔJ,嫩芽,1
2686,104,nɯJ khɯ+ tʂɔ7,萌芽；发芽,1
2687,105,dɿ7,①四 ②苗；秧 ③茼(菌) ④孙 ⑤折(折断),5
2688,105,dɿ7 Sɿ7,撒秧,1
2689,105,dɿ7 dlɿJ,攀折；折断,1
2690,105,dɿ7 dɔJ,四方,1
2691,105,dɿ7 dɔJ dɿ7 Vɛi+,四四方方；四面八方,1
2692,105,dɿ7 dɛi+,子孙,1
2693,105,dɿ7 dɿ7,育秧；育苗,1
2694,105,dɿ7 dɿ7 dɛi+ dɛi+,子子孙孙,1
2695,105,dɿ7 khuJ dzɯ+,四方形,1
2696,105,dɿ7 khuJ dzɯ+ mɔ+,大四方形,1
2697,105,dɿ7 lɯJ,四个,1
2698,105,dɿ7 mu7,芦苇,1
2699,105,dɿ7 mɛi+,秧田,1
2700,105,dɿ7 nɯ+,孙女,1
2701,105,dɿ7 pw+ thɿJ pw+,四分之一,1
2702,105,dɿ7 thɔJ,①四季 ②四点钟,2
2703,105,dɿ7 tʂɿJ,间苗,1
2704,105,dɿ7 xɛiJ,四角,1
2705,105,dɿ7 zɔJ,孙子,1
2706,105,dɿ7 ŋe+,秧鸡,1
2707,105,dɿ7 ŋɔ7 lɯJ,四五个,1
2708,105,dɿ7 ɛJ mɿJ,孙女,1
2709,105,dɿ7+ gɔ+,四种；四样,1
2710,105,dɿ7+ hɔ+ tɖɔ7,四百元,1
2711,105,dɿ7+ tshɿ+,四十,1
2712,105,dɿ7+ tshɿ+ dɿ7,四十四,1
2713,106,dɿ+,①风 ②扬,2
2714,106,dɿ+,①船 ②老二(排行第二人) ③跨,3
2715,106,dɿ+ Sɿ+,平安；健康,1
2716,106,dɿ+ ZɛiJ mɔ+,大船；轮船,1
2717,106,dɿ+ dɔ+ lɿ+,跨过来,1
